Id	Title	Series
JiM97/1	The lava man	Journey into Mystery -  Thor
JiM97/2	Tales of .. Asgard!: Home of the mighty norse gods	Journey into Mystery -  Thor
JiM98/1	The human cobra!	Journey into Mystery -  Thor
JiM98/2	Odin battles Ymir, king of the giants	Journey into Mystery -  Thor
JiM99/1	The mysterious mister Hyde!	Journey into Mystery -  Thor
JiM99/2	Surtur, the fire demon!	Journey into Mystery -  Thor
JiM100/1	The masterplan of mister Hyde!	Journey into Mystery -  Thor
JiM100/2	The boyhood of Thor: The storm giants	Journey into Mystery -  Thor
JiM101/1	The return of Zarkko, the tomorrow man!	Journey into Mystery -  Thor
JiM101/2	The boyhood of Thor�: The invasion of Asgard	Journey into Mystery -  Thor
JiM102/1	Slave of Zarkko, the tomorrow man!	Journey into Mystery -  Thor
JiM102/2	The boyhood of Thor�: Death comes to Thor!	Journey into Mystery -  Thor
JiM103/1	The enchantress and the executioner!	Journey into Mystery -  Thor
JiM103/2	Thor's mission to Mirmir	Journey into Mystery -  Thor
JiM104/1	Giants walk the earth!	Journey into Mystery -  Thor
JiM104/2	Heimdall	Journey into Mystery -  Thor
JiM105/1	The cobra and mister Hyde!	Journey into Mystery -  Thor
JiM105/2	When Heimdall failed	Journey into Mystery -  Thor
JiM106/1	The thunder god strikes back	Journey into Mystery -  Thor
JiM106/2	Balder the brave	Journey into Mystery -  Thor
JiM107/1	When the grey gargoyle strikes	Journey into Mystery -  Thor
JiM107/2	Balder must die	Journey into Mystery -  Thor
JiM108/1	At the mercy of Loki, prince of evil	Journey into Mystery -  Thor
JiM108/2	Trapped by the trolls!	Journey into Mystery -  Thor
JiM109/1	When Magneto strikes!	Journey into Mystery -  Thor
JiM109/2	Banished from Asgard!	Journey into Mystery -  Thor
JiM110/1	Every hand against him!	Journey into Mystery -  Thor
JiM110/2	The defeat of Odin!	Journey into Mystery -  Thor
JiM111/1	The power of the thunder god!	Journey into Mystery -  Thor
JiM111/2	The secred of Sigurd!	Journey into Mystery -  Thor
JiM112/1	The mighty Thor battles the incredible Hulk	Journey into Mystery -  Thor
JiM112/2	The coming of Loki!	Journey into Mystery -  Thor
JiM113/1	A world gone mad!	Journey into Mystery -  Thor
JiM113/2	The boyhood of Loki!	Journey into Mystery -  Thor
JiM114/1	The strong I am, the sooner I die!	Journey into Mystery -  Thor
JiM114/2	The golden apples!	Journey into Mystery -  Thor
JiM115/1	The vengeance of the thunder god!	Journey into Mystery -  Thor
JiM115/2	A viper in our midst!	Journey into Mystery -  Thor
JiM116/1	The trial of the gods!	Journey into Mystery -  Thor
JiM116/2	The challenge!	Journey into Mystery -  Thor
JiM117/1	Into the blaze of battle!	Journey into Mystery -  Thor
JiM117/2	The sword in the scabbard!	Journey into Mystery -  Thor
JiM118/1	To kill a thunder god!	Journey into Mystery -  Thor
JiM118/2	The crimson hand!	Journey into Mystery -  Thor
JiM119/1	The day of the destroyer!	Journey into Mystery -  Thor
JiM119/2	Gather warriors!	Journey into Mystery -  Thor
JiM120/1	With my hammer in hand!	Journey into Mystery -  Thor
JiM120/2	Set sail!	Journey into Mystery -  Thor
JiM121/1	The power! The passion! The pride!	Journey into Mystery -  Thor
JiM121/2	Maelstrom!	Journey into Mystery -  Thor
JiM122/1	Where mortals fear to thread!	Journey into Mystery -  Thor
JiM122/2	The grim specter of mutiny!	Journey into Mystery -  Thor
JiM123/1	While a universe trembles!	Journey into Mystery -  Thor
JiM123/2	The jaws of the dragon!	Journey into Mystery -  Thor
JiM124/1	The grandeur and the glory!	Journey into Mystery -  Thor
JiM124/2	Close comes the swarm!	Journey into Mystery -  Thor
JiM125/1	When meet the immortals!	Journey into Mystery -  Thor
JiM125/2	The queen commands!	Journey into Mystery -  Thor
T126/1	Whom the gods would destroy!	Journey into Mystery -  Thor
T126/2	The summons!	Journey into Mystery -  Thor
T127/1	The hammer and the holocaust!	Journey into Mystery -  Thor
T127/2	The meaning of ... Ragnarok!	Journey into Mystery -  Thor
T128/1	The power of pluto!	Journey into Mystery -  Thor
T128/2	Aftermath!	Journey into Mystery -  Thor
T129/1	The verdict of Zeus!	Journey into Mystery -  Thor
T129/2	The hordes of Harokin!	Journey into Mystery -  Thor
T130/1	Thunder in the netherworld!	Journey into Mystery -  Thor
T130/2	The fateful change!	Journey into Mystery -  Thor
T131/1	They strike from space!	Journey into Mystery -  Thor
T131/2	The warlock's eye!	Journey into Mystery -  Thor
T132/1	Rigel: Where gods may fear to thread!	Journey into Mystery -  Thor
T132/2	The dark horse of death!	Journey into Mystery -  Thor
T133/1	Behold ... the living planet!	Journey into Mystery -  Thor
T133/2	Valhalla!	Journey into Mystery -  Thor
T134/1	The people-breeders!	Journey into Mystery -  Thor
T134/2	When speaks the dragon!	Journey into Mystery -  Thor
T135/1	The maddening menace of ... the super-beast!	Journey into Mystery -  Thor
T135/2	The fiery breathe of ... Fafnir!	Journey into Mystery -  Thor
T136/1	To become an immortal!	Journey into Mystery -  Thor
